사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
43922,2호선,231,신대방,101,5,22605,1900,31459,8931,74068,15829,110953,28160,69852,18520,36176,14382,27890,15333,28218,17749,28250,20577,24907,23051,23940,31142,26548,36098,31619,52256,35899,83316,22609,70620,16103,47123,12627,48728,9897,45345,4283,29118,0,12,0,0,0,0,0,0
43922,2호선,232,구로디지털단지,245,9,35799,6327,45660,21461,117003,69491,157042,210117,101877,137461,53735,48835,46594,38752,50097,37218,54916,44060,49866,45203,51289,53404,61920,59788,108472,90787,189793,142727,101465,118803,56723,73845,46770,70691,38626,66853,15798,44348,6,142,0,0,0,0,0,0
43922,2호선,233,대림(구로구청),520,8,30876,3689,25195,10586,54925,19099,77850,48799,53710,32244,29656,24240,24450,23512,26360,22798,27283,24446,25359,25427,25887,31960,28509,34678,36066,51768,48312,64002,26095,46232,17290,33280,13335,40221,9768,38006,4400,19690,4,581,1,1,0,0,0,0
43922,2호선,234,신도림,3149,26,32475,4558,43281,15509,113194,35537,116829,95588,76242,59624,46176,48392,42839,41959,49251,43706,52882,47669,51174,49098,53542,54665,58546,61892,78071,85863,109479,141190,68422,111061,59257,64861,46599,57472,33985,57460,15096,42336,58,14312,1,0,0,0,0,0
43922,2호선,235,문래,6,0,2821,1527,10112,8713,34632,29779,36019,104252,21551,50844,14532,18528,14146,15107,15918,15487,17466,17842,17618,17145,19745,17300,23619,18816,43726,25465,89523,43067,33718,33267,20754,17556,21013,15321,16888,14074,6962,8294,8,533,0,0,0,0,0,0
43922,2호선,236,영등포구청,21,1,4979,2643,10977,10989,35568,33451,39365,103473,25605,48734,17958,21310,18462,18241,19458,18810,21270,21332,22684,20426,23466,20867,29062,22551,46336,28639,90563,47167,34801,34048,22608,19787,22434,17225,17316,16072,6396,11792,5,776,0,0,0,0,0,0
43922,2호선,237,당산,37,0,5311,2993,14689,11982,38468,24274,46836,74292,29853,37359,18430,17567,17918,15552,18355,16538,19648,20058,18821,19325,19864,20980,23550,24603,36681,36658,59713,63269,28271,45470,19786,28284,19483,25446,17319,23057,7362,16085,7,489,0,0,1,2,0,0
43922,2호선,238,합정,121,3,6952,2902,14060,13082,34769,29907,44671,82772,30903,61951,20130,36409,20288,33368,23303,37393,27759,43335,29128,42057,32025,39460,39449,44409,58220,59319,97610,88670,64152,65594,49437,34404,55928,26110,55297,22143,24306,16896,5,658,1,1,0,0,0,0
43922,2호선,239,홍대입구,599,10,17600,3166,22474,13362,49997,26478,62154,84351,40491,91912,27767,58383,30973,61661,36549,78726,47070,96665,49777,96526,58975,94892,75296,98662,101884,117474,135624,159759,110728,121241,105798,62483,122764,45234,128802,36642,59054,28864,298,6070,0,2,0,0,0,0
43922,2호선,240,신촌,47,2,6388,2404,10839,12248,27911,30757,37731,66449,27530,79510,24580,46750,28540,41940,35153,46419,38096,53828,39695,47646,45161,44279,54081,44562,71043,59796,77619,88698,58585,63848,58834,32312,61880,25599,66046,22014,26944,16987,4,18,0,0,0,0,0,0
43922,2호선,241,이대,31,0,2262,1480,5569,10507,15023,8485,18649,24261,12133,22636,8803,15667,9725,12867,12134,13848,13185,16418,13247,15157,15576,14158,20645,13884,28435,16301,25771,23688,16621,18897,13351,11455,12401,10057,10805,9093,3360,7694,0,28,0,0,0,0,0,0
43922,2호선,242,아현,7,0,3563,941,8759,6330,21851,8117,27884,15155,17565,9316,11358,7341,10379,6971,11223,7749,11235,8915,10574,9627,11635,10229,12912,11827,15124,16754,16410,24224,9692,20126,6500,13037,4920,11940,3821,10970,1501,7323,1,2,0,0,0,0,0,0
43922,2호선,243,충정로(경기대입구),23,2,2665,850,5663,5056,13089,15281,18242,48113,12049,26455,8311,10655,8647,8174,8538,7371,9642,8968,10145,8349,10423,8765,12674,9745,20058,12449,39998,18248,15501,13687,8672,8934,8433,8342,6377,7422,2250,5553,0,146,0,0,0,0,0,0
43922,2호선,244,용답,5,0,2235,229,2672,759,5492,1406,10335,2570,5046,1195,3068,1421,2896,1664,3065,2080,3193,2201,3166,2596,2976,3444,3044,4139,3377,5049,3127,8607,2031,6035,1393,3838,1107,3979,946,3861,490,2474,0,2,1,1,0,0,0,0
43922,2호선,245,신답,0,0,882,66,1450,558,5155,939,8416,1617,3386,983,1684,753,1509,886,1513,1020,1532,1269,1468,1344,1431,1974,1582,2323,1617,3372,1949,7393,1010,5953,567,2615,498,2734,429,2130,120,1650,0,29,0,0,0,0,0,0
43922,2호선,246,신설동,19,0,1017,439,1143,1816,2459,4971,4525,11565,3327,7240,3071,5070,3820,5331,4535,5228,5324,5591,6115,5386,6908,4723,7139,3921,9243,4000,10737,4492,4778,3406,2593,2176,2175,1803,1661,1535,595,1079,2,350,0,0,0,0,0,0
43922,2호선,247,도림천,0,0,282,296,848,664,2416,2516,2523,5058,1534,1892,1264,1068,1014,1024,1617,1468,1276,909,1417,1339,1730,1171,2167,1270,2322,1567,3092,2218,1751,1932,755,1277,640,1173,342,948,164,665,1,86,0,0,0,0,0,0
43922,2호선,248,양천구청,10,0,3902,789,9589,1995,25720,4135,23304,7403,12815,4117,7571,3736,6661,3650,7329,4440,7261,5270,6013,5701,5482,7052,6401,8444,7000,12827,7258,22756,3701,21151,2455,11902,2348,10216,1992,9332,674,7307,3,785,1,2,0,0,0,0
43922,2호선,249,신정네거리,42,0,6714,1690,11245,6648,34130,4033,31588,10718,17752,6485,11314,5817,9650,6669,10194,7126,9909,7958,9214,9095,8848,10910,11790,13254,12349,19688,10562,34433,6523,28189,4905,16032,3736,12800,3151,11798,1299,7660,15,756,0,0,0,0,0,0
43922,2호선,250,용두(동대문구청),16,1,938,166,1105,827,4027,2069,6550,5056,3264,3213,2521,2596,2844,2843,3088,2433,3106,3102,3299,3423,3607,3724,3675,3375,3684,3584,4980,6291,2404,4672,1374,2544,1185,2378,879,1705,284,1197,0,48,0,0,0,0,0,0
43922,3호선,309,지축,1,0,1125,286,4961,2102,13011,2191,12427,2496,6493,1812,4172,1666,3796,2047,3750,2372,3605,2511,3367,2735,3776,3130,4107,4079,4462,5791,3278,11902,1764,9895,1083,6837,731,4897,537,4957,223,2737,0,0,0,1,0,0,0,0
43922,3호선,310,구파발,75,0,7811,1350,25821,7451,71429,18592,70749,24694,34959,22548,22161,22862,20154,17541,21715,17685,21927,19272,21894,19242,23788,19899,26858,23245,29641,31977,27453,57886,17074,50610,13580,29859,12981,24737,7549,20670,2367,20636,4,2234,0,0,0,0,0,0
43922,3호선,311,연신내,208,12,23994,1728,43642,10230,116970,15081,139141,29772,77542,31309,48723,29291,43390,28724,46220,30607,47358,35057,43701,38525,42248,45801,44729,54378,46060,73641,44218,122852,33628,115243,26572,63862,24098,57769,22126,47922,8619,36580,5,2039,3,2,0,0,0,0
43922,3호선,312,불광,24,1,7995,859,16134,5191,42653,9219,51403,28058,28707,28074,19839,23852,18313,18738,18687,19076,19984,19442,20155,21135,20313,23261,21286,26447,24165,32589,26950,50650,16922,41334,12300,24548,10704,20060,7611,18304,2405,12236,4,397,0,0,0,0,0,0
43922,3호선,313,녹번,12,1,7056,1175,17866,8839,46305,6742,55618,15091,31043,8697,17071,6791,14195,6898,13669,7961,13303,8634,12169,9562,11112,11566,14389,15284,16704,22048,15651,40198,8228,36328,5573,21949,4607,18749,3736,16088,1092,10490,1,51,0,0,0,0,0,0
43922,3호선,314,홍제,46,0,8056,1375,18568,7904,48144,9686,59593,21404,35575,16546,23595,14094,21120,13209,22025,14400,21344,16521,19972,17360,19931,21103,21892,23756,25300,31234,24260,51954,13467,44571,10071,25960,8274,23105,5986,18913,1956,13002,0,1,1,2,0,0,0,0
43922,3호선,315,무악재,17,0,1693,218,4348,1400,11781,2524,13709,4553,8280,2920,5144,2750,4429,2763,4367,2841,4341,3287,3858,3721,3852,4443,3811,5296,4967,7290,5461,12296,2782,10950,1939,6728,1592,5621,1239,5427,508,3647,0,0,0,0,0,0,0,0
43922,3호선,316,독립문,88,1,4542,704,5443,4023,12533,9630,15786,17296,11416,11038,9161,11077,8141,8833,9377,8208,9528,9390,10284,8664,10370,8588,11102,9158,12297,11541,14216,14607,7464,12317,4683,7263,3760,6465,2699,6081,733,3713,10,4507,1,2,0,2,0,0
43922,3호선,317,경복궁(정부서울청사),101,7,2369,1232,4551,11044,11264,33441,16084,86656,15208,40175,10634,23708,11634,20822,12498,19796,15970,22218,18877,20226,22472,17481,29513,16384,44804,18526,77020,23203,34552,16477,24153,9300,23262,7852,17093,7104,5415,4686,6,186,0,0,0,0,0,0
43922,3호선,318,안국,9,1,1464,1472,2720,17942,4822,77418,6994,83001,5906,44378,6479,24182,8388,22393,10159,21300,12777,24167,16201,23348,21128,18806,28262,16038,80186,15232,90562,14727,38003,8307,26233,4857,22209,3683,14012,3061,3551,2474,3,49,0,0,0,0,0,0
